category,volume_before,volume_after,count_before,count_after
Politics,2241327.0,1587693709.0,649,2316
Crypto,9569315.0,219165738.0,8772,53221
Financials,118557577.0,73376026.0,53496,20498
Climate and Weather,9714094.0,125039016.0,4762,6945
Entertainment,7611307.0,89990455.0,764,5407
Economics,27517455.0,26342170.0,1084,975
Sports,0.0,39854978.0,0,755
Companies,1028461.0,7688331.0,127,139
Science and Technology,244764.0,4786827.0,22,139
Other,1400.0,3240290.0,2,53
Mentions,0.0,1166777.0,0,140
World,53630.0,1086336.0,9,5
Elections,0.0,780272.0,0,36
Health,12536.0,655701.0,3,13
Transportation,76291.0,153787.0,1,1
